Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.0005,1788.0,1.01,1.01,2.02,100,1,1,1,0
2,0.0005,1831.0,1.01,1.01,1.01,2.02,1,1,1,1
3,0.0005,1785.0,1.01,1.01,2.02,100,1,1,1,0
4,0.0005,1847.0,3.03,3.03,3.03,6.06,1,1,1,1
5,0.0005,1695.0,1.01,100,100,100,1,0,0,0
6,0.0005,1862.0,1.01,1.01,1.01,2.02,1,1,1,1
7,0.0005,1735.0,1.01,1.01,100,100,1,1,0,0
8,0.0005,1850.0,1.01,1.01,1.01,1.01,1,1,1,1
9,0.0005,1847.0,1.01,1.01,2.02,5.050000000000001,1,1,1,1
10,0.0005,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
11,0.0005,1898.0,1.01,1.01,2.02,2.02,1,1,1,1
12,0.0005,1902.0,1.01,1.01,1.01,1.01,1,1,1,1
13,0.0005,1837.0,1.01,1.01,1.01,2.02,1,1,1,1
14,0.0005,1827.0,1.01,2.02,2.02,4.04,1,1,1,1
15,0.0005,1837.0,1.01,2.02,2.02,2.02,1,1,1,1
16,0.0005,1807.0,1.01,1.01,1.01,100,1,1,1,0
17,0.0005,1859.0,1.01,1.01,1.01,2.02,1,1,1,1
18,0.0005,1835.0,2.02,6.06,9.09,11.11,1,1,1,1
19,0.0005,1837.0,1.01,1.01,2.02,3.03,1,1,1,1
20,0.0005,1898.0,1.01,1.01,1.01,1.01,1,1,1,1
21,0.0005,1802.0,1.01,1.01,2.02,100,1,1,1,0
22,0.0005,1850.0,1.01,1.01,2.02,6.06,1,1,1,1
23,0.0005,1819.0,1.01,1.01,1.01,100,1,1,1,0
24,0.0005,1902.0,2.02,3.03,3.03,4.04,1,1,1,1
25,0.0005,1811.0,2.02,2.02,5.050000000000001,100,1,1,1,0
26,0.0005,1801.0,1.01,1.01,2.02,100,1,1,1,0
27,0.0005,1779.0,1.01,1.01,2.02,100,1,1,1,0
28,0.0005,1828.0,1.01,1.01,1.01,2.02,1,1,1,1
29,0.0005,1862.0,1.01,1.01,1.01,3.03,1,1,1,1
30,0.0005,1771.0,3.03,4.04,4.04,100,1,1,1,0
31,0.0005,1798.0,1.01,1.01,1.01,100,1,1,1,0
32,0.0005,1835.0,1.01,1.01,1.01,3.03,1,1,1,1
33,0.0005,1794.0,1.01,1.01,2.02,100,1,1,1,0
34,0.0005,1771.0,1.01,2.02,3.03,100,1,1,1,0
35,0.0005,1859.0,1.01,1.01,1.01,1.01,1,1,1,1
36,0.0005,1826.0,1.01,1.01,1.01,1.01,1,1,1,1
37,0.0005,1797.0,1.01,1.01,3.03,100,1,1,1,0
