Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.03,1943.0,3.03,5.050000000000001,7.07,100,1,1,1,0
2,0.03,1860.0,3.03,8.08,100,100,1,1,0,0
3,0.03,1940.0,2.02,7.07,31.31,100,1,1,1,0
4,0.03,1928.0,2.02,5.050000000000001,7.07,100,1,1,1,0
5,0.03,1881.0,2.02,4.04,100,100,1,1,0,0
6,0.03,1906.0,3.03,7.07,23.23,100,1,1,1,0
7,0.03,1870.0,3.03,6.06,100,100,1,1,0,0
8,0.03,1866.0,3.03,9.09,100,100,1,1,0,0
9,0.03,1892.0,2.02,3.03,17.17,100,1,1,1,0
10,0.03,1929.0,3.03,4.04,5.050000000000001,100,1,1,1,0
11,0.03,1924.0,3.03,6.06,11.11,100,1,1,1,0
12,0.03,1877.0,2.02,4.04,100,100,1,1,0,0
13,0.03,1906.0,2.02,3.03,46.46,100,1,1,1,0
14,0.03,1908.0,2.02,2.02,3.03,100,1,1,1,0
15,0.03,1960.0,2.02,3.03,5.050000000000001,100,1,1,1,0
16,0.03,1885.0,3.03,11.11,100,100,1,1,0,0
17,0.03,1866.0,3.03,6.06,100,100,1,1,0,0
18,0.03,1947.0,3.03,7.07,10.100000000000001,100,1,1,1,0
19,0.03,1888.0,2.02,9.09,100,100,1,1,0,0
20,0.03,1838.0,3.03,100,100,100,1,0,0,0
21,0.03,1940.0,2.02,3.03,11.11,100,1,1,1,0
22,0.03,1951.0,3.03,5.050000000000001,6.06,100,1,1,1,0
23,0.03,1883.0,2.02,15.149999999999999,100,100,1,1,0,0
24,0.03,1927.0,2.02,3.03,6.06,100,1,1,1,0
25,0.03,1961.0,2.02,5.050000000000001,8.08,100,1,1,1,0
26,0.03,1850.0,3.03,7.07,100,100,1,1,0,0
27,0.03,1950.0,2.02,3.03,11.11,100,1,1,1,0
28,0.03,1927.0,3.03,5.050000000000001,8.08,100,1,1,1,0
29,0.03,1920.0,3.03,6.06,8.08,100,1,1,1,0
30,0.03,1911.0,2.02,3.03,9.09,100,1,1,1,0
31,0.03,1913.0,3.03,8.08,16.16,100,1,1,1,0
32,0.03,1889.0,2.02,10.100000000000001,100,100,1,1,0,0
33,0.03,1905.0,2.02,5.050000000000001,19.19,100,1,1,1,0
34,0.03,1915.0,3.03,7.07,13.13,100,1,1,1,0
35,0.03,1952.0,2.02,2.02,5.050000000000001,100,1,1,1,0
36,0.03,1921.0,2.02,3.03,4.04,100,1,1,1,0
37,0.03,1918.0,3.03,5.050000000000001,8.08,100,1,1,1,0
38,0.03,1935.0,3.03,4.04,6.06,100,1,1,1,0
39,0.03,1849.0,2.02,7.07,100,100,1,1,0,0
40,0.03,1896.0,3.03,6.06,13.13,100,1,1,1,0
41,0.03,1922.0,3.03,5.050000000000001,7.07,100,1,1,1,0
42,0.03,1864.0,4.04,18.18,100,100,1,1,0,0
43,0.03,1884.0,3.03,6.06,100,100,1,1,0,0
44,0.03,1898.0,2.02,5.050000000000001,13.13,100,1,1,1,0
45,0.03,1927.0,2.02,4.04,11.11,100,1,1,1,0
46,0.03,1923.0,2.02,3.03,5.050000000000001,100,1,1,1,0
47,0.03,1908.0,2.02,3.03,4.04,100,1,1,1,0
48,0.03,1933.0,3.03,12.12,18.18,100,1,1,1,0
49,0.03,1866.0,2.02,4.04,100,100,1,1,0,0
50,0.03,1986.0,3.03,5.050000000000001,7.07,19.19,1,1,1,1
51,0.03,1949.0,2.02,3.03,5.050000000000001,100,1,1,1,0
52,0.03,1960.0,2.02,3.03,4.04,100,1,1,1,0
53,0.03,1928.0,2.02,2.02,6.06,100,1,1,1,0
54,0.03,1865.0,2.02,4.04,100,100,1,1,0,0
55,0.03,1904.0,2.02,4.04,15.149999999999999,100,1,1,1,0
56,0.03,1865.0,3.03,12.12,100,100,1,1,0,0
57,0.03,1912.0,2.02,3.03,6.06,100,1,1,1,0
58,0.03,1854.0,3.03,13.13,100,100,1,1,0,0
59,0.03,1926.0,2.02,5.050000000000001,12.12,100,1,1,1,0
60,0.03,1852.0,3.03,8.08,100,100,1,1,0,0
61,0.03,1895.0,3.03,4.04,15.149999999999999,100,1,1,1,0
62,0.03,1936.0,2.02,5.050000000000001,9.09,100,1,1,1,0
63,0.03,1885.0,2.02,5.050000000000001,100,100,1,1,0,0
64,0.03,1880.0,2.02,5.050000000000001,100,100,1,1,0,0
65,0.03,1900.0,2.02,7.07,25.25,100,1,1,1,0
66,0.03,1935.0,2.02,3.03,5.050000000000001,100,1,1,1,0
67,0.03,1943.0,2.02,3.03,9.09,100,1,1,1,0
68,0.03,1912.0,3.03,7.07,32.32,100,1,1,1,0
69,0.03,1925.0,3.03,6.06,55.550000000000004,100,1,1,1,0
70,0.03,1926.0,2.02,5.050000000000001,7.07,100,1,1,1,0
71,0.03,1851.0,2.02,8.08,100,100,1,1,0,0
72,0.03,1913.0,2.02,4.04,10.100000000000001,100,1,1,1,0
73,0.03,1935.0,2.02,3.03,6.06,100,1,1,1,0
74,0.03,1865.0,3.03,7.07,100,100,1,1,0,0
75,0.03,1902.0,3.03,7.07,11.11,100,1,1,1,0
76,0.03,1914.0,2.02,2.02,19.19,100,1,1,1,0
77,0.03,1921.0,3.03,8.08,17.17,100,1,1,1,0
78,0.03,1858.0,3.03,9.09,100,100,1,1,0,0
79,0.03,1884.0,2.02,9.09,100,100,1,1,0,0
80,0.03,1899.0,2.02,3.03,6.06,100,1,1,1,0
81,0.03,1856.0,3.03,8.08,100,100,1,1,0,0
82,0.03,1872.0,2.02,6.06,100,100,1,1,0,0
83,0.03,1905.0,2.02,5.050000000000001,9.09,100,1,1,1,0
84,0.03,1902.0,3.03,5.050000000000001,14.14,100,1,1,1,0
85,0.03,1850.0,2.02,10.100000000000001,100,100,1,1,0,0
86,0.03,1893.0,3.03,4.04,7.07,100,1,1,1,0
87,0.03,1879.0,3.03,12.12,100,100,1,1,0,0
88,0.03,1852.0,2.02,18.18,100,100,1,1,0,0
89,0.03,1924.0,3.03,9.09,12.12,100,1,1,1,0
90,0.03,1906.0,2.02,4.04,7.07,100,1,1,1,0
91,0.03,1933.0,2.02,4.04,10.100000000000001,100,1,1,1,0
92,0.03,1932.0,2.02,4.04,7.07,100,1,1,1,0
93,0.03,1883.0,2.02,6.06,100,100,1,1,0,0
94,0.03,1938.0,3.03,5.050000000000001,7.07,100,1,1,1,0
95,0.03,1909.0,3.03,5.050000000000001,12.12,100,1,1,1,0
96,0.03,1917.0,3.03,4.04,6.06,100,1,1,1,0
97,0.03,1931.0,2.02,4.04,4.04,100,1,1,1,0
98,0.03,1910.0,3.03,4.04,7.07,100,1,1,1,0
99,0.03,1909.0,2.02,3.03,10.100000000000001,100,1,1,1,0
100,0.03,1926.0,2.02,5.050000000000001,10.100000000000001,100,1,1,1,0
