Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.1,110.0,100,100,100,100,0,0,0,0
2,0.1,121.0,8.08,9.09,11.11,20.200000000000003,1,1,1,1
3,0.1,122.0,44.44,100,100,100,1,0,0,0
4,0.1,121.0,9.09,9.09,10.100000000000001,14.14,1,1,1,1
5,0.1,122.0,10.100000000000001,13.13,14.14,100,1,1,1,0
6,0.1,121.0,8.08,14.14,16.16,100,1,1,1,0
7,0.1,111.0,86.86,100,100,100,1,0,0,0
8,0.1,111.0,74.74,100,100,100,1,0,0,0
9,0.1,110.0,100,100,100,100,0,0,0,0
10,0.1,115.0,10.100000000000001,20.200000000000003,100,100,1,1,0,0
11,0.1,110.0,100,100,100,100,0,0,0,0
12,0.1,121.0,18.18,19.19,21.21,25.25,1,1,1,1
13,0.1,115.0,11.11,21.21,100,100,1,1,0,0
14,0.1,121.0,12.12,12.12,13.13,100,1,1,1,0
15,0.1,110.0,100,100,100,100,0,0,0,0
16,0.1,111.0,35.35,100,100,100,1,0,0,0
17,0.1,111.0,66.66,100,100,100,1,0,0,0
18,0.1,111.0,61.61,100,100,100,1,0,0,0
19,0.1,121.0,5.050000000000001,5.050000000000001,6.06,100,1,1,1,0
20,0.1,121.0,24.24,62.62,63.63,67.67,1,1,1,1
21,0.1,121.0,6.06,8.08,10.100000000000001,100,1,1,1,0
22,0.1,115.0,10.100000000000001,13.13,100,100,1,1,0,0
23,0.1,121.0,10.100000000000001,10.100000000000001,11.11,18.18,1,1,1,1
24,0.1,115.0,9.09,17.17,100,100,1,1,0,0
25,0.1,121.0,50.5,88.88,89.89,100,1,1,1,0
26,0.1,115.0,10.100000000000001,19.19,100,100,1,1,0,0
27,0.1,121.0,19.19,20.200000000000003,22.22,100,1,1,1,0
28,0.1,111.0,48.48,100,100,100,1,0,0,0
29,0.1,110.0,100,100,100,100,0,0,0,0
30,0.1,121.0,11.11,11.11,12.12,19.19,1,1,1,1
31,0.1,115.0,10.100000000000001,17.17,100,100,1,1,0,0
32,0.1,121.0,16.16,16.16,17.17,21.21,1,1,1,1
33,0.1,121.0,13.13,13.13,13.13,20.200000000000003,1,1,1,1
34,0.1,121.0,8.08,16.16,17.17,100,1,1,1,0
35,0.1,121.0,6.06,7.07,10.100000000000001,15.149999999999999,1,1,1,1
36,0.1,115.0,13.13,21.21,100,100,1,1,0,0
37,0.1,110.0,100,100,100,100,0,0,0,0
38,0.1,110.0,100,100,100,100,0,0,0,0
