Trial,Noise Level,Cut at T=100,T to 0.87 GS Energy,T to 0.9 GS Energy,T to 0.92 GS Energy,T to 0.96 GS Energy,Success for 0.87 GS Energy,Success for 0.9 GS Energy,Success for 0.92 GS Energy,Success for 0.96 GS Energy
1,0.99,1594.0,2.02,3.03,100,100,1,1,0,0
2,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
3,0.99,1604.0,1.01,5.050000000000001,100,100,1,1,0,0
4,0.99,1549.0,1.01,100,100,100,1,0,0,0
5,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
6,0.99,1736.0,1.01,1.01,1.01,2.02,1,1,1,1
7,0.99,1736.0,1.01,1.01,8.08,8.08,1,1,1,1
8,0.99,1626.0,1.01,2.02,2.02,100,1,1,1,0
9,0.99,1639.0,2.02,2.02,2.02,100,1,1,1,0
10,0.99,1736.0,1.01,2.02,2.02,3.03,1,1,1,1
11,0.99,1639.0,1.01,1.01,2.02,100,1,1,1,0
12,0.99,1736.0,2.02,3.03,3.03,4.04,1,1,1,1
13,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
14,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
15,0.99,1601.0,2.02,2.02,100,100,1,1,0,0
16,0.99,1609.0,1.01,1.01,100,100,1,1,0,0
17,0.99,1588.0,1.01,1.01,3.03,100,1,1,1,0
18,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
19,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
20,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
21,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
22,0.99,1736.0,1.01,1.01,2.02,2.02,1,1,1,1
23,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
24,0.99,1736.0,1.01,1.01,2.02,4.04,1,1,1,1
25,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
26,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
27,0.99,1549.0,1.01,100,100,100,1,0,0,0
28,0.99,1605.0,1.01,2.02,100,100,1,1,0,0
29,0.99,1597.0,1.01,2.02,100,100,1,1,0,0
30,0.99,1736.0,1.01,2.02,2.02,2.02,1,1,1,1
31,0.99,1736.0,2.02,2.02,2.02,4.04,1,1,1,1
32,0.99,1597.0,1.01,2.02,100,100,1,1,0,0
33,0.99,1736.0,1.01,1.01,1.01,3.03,1,1,1,1
34,0.99,1639.0,2.02,3.03,4.04,100,1,1,1,0
35,0.99,1580.0,1.01,4.04,100,100,1,1,0,0
36,0.99,1603.0,1.01,2.02,100,100,1,1,0,0
37,0.99,1609.0,1.01,2.02,100,100,1,1,0,0
38,0.99,1567.0,2.02,100,100,100,1,0,0,0
39,0.99,1594.0,2.02,2.02,100,100,1,1,0,0
40,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
41,0.99,1639.0,1.01,2.02,3.03,100,1,1,1,0
42,0.99,1736.0,1.01,1.01,2.02,2.02,1,1,1,1
43,0.99,1736.0,1.01,2.02,2.02,3.03,1,1,1,1
44,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
45,0.99,1736.0,1.01,1.01,1.01,2.02,1,1,1,1
46,0.99,1633.0,2.02,2.02,4.04,100,1,1,1,0
47,0.99,1736.0,1.01,2.02,2.02,2.02,1,1,1,1
48,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
49,0.99,1736.0,1.01,1.01,2.02,3.03,1,1,1,1
50,0.99,1736.0,2.02,2.02,2.02,3.03,1,1,1,1
51,0.99,1736.0,1.01,1.01,2.02,3.03,1,1,1,1
52,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
53,0.99,1736.0,2.02,2.02,2.02,3.03,1,1,1,1
54,0.99,1588.0,1.01,1.01,1.01,100,1,1,1,0
55,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
56,0.99,1549.0,1.01,100,100,100,1,0,0,0
57,0.99,1597.0,1.01,2.02,100,100,1,1,0,0
58,0.99,1639.0,2.02,2.02,2.02,100,1,1,1,0
59,0.99,1548.0,2.02,100,100,100,1,0,0,0
60,0.99,1577.0,1.01,6.06,100,100,1,1,0,0
61,0.99,1639.0,1.01,1.01,1.01,100,1,1,1,0
62,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
63,0.99,1605.0,1.01,1.01,100,100,1,1,0,0
64,0.99,1736.0,1.01,2.02,2.02,4.04,1,1,1,1
65,0.99,1639.0,1.01,1.01,1.01,100,1,1,1,0
66,0.99,1603.0,1.01,1.01,100,100,1,1,0,0
67,0.99,1549.0,1.01,100,100,100,1,0,0,0
68,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
69,0.99,1594.0,2.02,4.04,100,100,1,1,0,0
70,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
71,0.99,1601.0,1.01,1.01,100,100,1,1,0,0
72,0.99,1594.0,1.01,1.01,100,100,1,1,0,0
73,0.99,1736.0,2.02,2.02,2.02,3.03,1,1,1,1
74,0.99,1736.0,1.01,2.02,2.02,2.02,1,1,1,1
75,0.99,1736.0,1.01,2.02,2.02,2.02,1,1,1,1
76,0.99,1736.0,1.01,2.02,2.02,3.03,1,1,1,1
77,0.99,1601.0,2.02,2.02,100,100,1,1,0,0
78,0.99,1627.0,1.01,1.01,3.03,100,1,1,1,0
79,0.99,1559.0,1.01,100,100,100,1,0,0,0
80,0.99,1736.0,1.01,1.01,2.02,2.02,1,1,1,1
81,0.99,1639.0,2.02,4.04,5.050000000000001,100,1,1,1,0
82,0.99,1736.0,1.01,1.01,1.01,2.02,1,1,1,1
83,0.99,1736.0,2.02,2.02,2.02,3.03,1,1,1,1
84,0.99,1594.0,1.01,2.02,100,100,1,1,0,0
