Problem,M,alpha,coupling_coeff,p
w01_100.8,25.236089606008672 ± 10.121065895538601,1.2879026021847912 ± 0.565179685697591,-0.7225553087821881 ± 0.24089292527844036,2.189463730268161 ± 0.6840415676062577
w09_100.3,23.313182798518124 ± 15.166073439263403,1.551961474388801 ± 0.4609391951741634,-0.3840378048886493 ± 0.15134014286672592,2.271187747217538 ± 0.6067511401509862
w05_100.2,17.813952774059377 ± 10.274293343240442,1.13229287712193 ± 0.6024145529650212,-0.434756233294455 ± 0.22825341407301733,1.9535814795473003 ± 0.758699812653142
G9,21.56956867713211 ± 14.832606421396742,0.9043556903344866 ± 0.6611622166179772,-0.19564539288254673 ± 0.04532254540112966,1.7864894165452503 ± 0.5748081603890518
w09_100.0,19.607283607835264 ± 9.87658805641649,1.2600404013563675 ± 0.6465920535377672,-0.44740139913690563 ± 0.12638741166061015,2.004431045673474 ± 0.5446323715317557
G30,24.77182706451224 ± 13.542370398772295,1.1315115503977826 ± 0.8105293923424819,-0.23055370548695614 ± 0.3876563376816177,2.389224909852428 ± 0.6867081865665031
G57,23.052726960764307 ± 11.891810248398485,0.2299642418631916 ± 0.9905858122148749,-0.5360160160798509 ± 0.33539603293284,1.895826354566487 ± 0.8121463960733583
G6,15.013288253952906 ± 13.991304932081498,1.284811323841868 ± 0.6276315328970739,-0.18111411996087978 ± 0.05647842551510561,1.6646314028407254 ± 0.5465385388256638
pm1s_100.5,17.3157831144795 ± 9.049862758748649,1.252698261370131 ± 0.6153104761487113,-0.6607811185052958 ± 0.2888128196398941,1.5207908594007504 ± 0.4589656246517974
G59,14.482020013165739 ± 12.25590673324186,0.28074126493605545 ± 1.108888320782202,-0.39341857148788373 ± 0.288817339243778,2.0333760552216145 ± 0.702392610842516
w05_100.9,19.881304069043455 ± 13.09490926815751,1.2260057510463336 ± 0.707266720228086,-0.579907433573807 ± 0.2750480743491945,2.0394749142372155 ± 0.6404359722980713
pm1s_80.7,22.9841733958625 ± 11.476442081469903,1.3509867337423966 ± 0.5851109866962819,-0.9176321643223241 ± 0.12561472769500026,1.4373587763115365 ± 0.46204839335794007
pm1s_80.4,20.723056974500658 ± 10.052928225371408,1.183336757918925 ± 0.6971060905886496,-0.7701141225318233 ± 0.17124535578510913,1.8168822350301361 ± 0.509032451827551
pm1s_100.9,18.52895830466429 ± 9.6669575764366,0.9982264599135462 ± 0.8235759978968894,-0.7425496049819845 ± 0.31437822556793693,1.4678822587637919 ± 0.5847097408354075
w01_100.5,20.019002252046825 ± 8.503722251726455,0.9262653358768976 ± 0.6813747688279234,-0.8770075860372826 ± 0.18694978200128304,1.8510455602632703 ± 0.7666375403120211
G27,14.780453323056005 ± 12.53300842458703,1.3089707460009583 ± 0.4659381713855787,-0.3888289646610092 ± 0.37692334362057084,1.9024282161280561 ± 0.6314790595996188
